product_id,model,mae,wape,bias,selection_score
AT5X5K,seasonal_naive_7,490.25714285714287,0.7767416594993437,0.21166991082341222,0.7767416594993437
AT5X5K,moving_average_7,572.5163265306122,0.9070694594437295,0.21166991082341222,0.9070694594437295
AT5X5K,moving_average_28,528.4433673469388,0.8372422188738788,-0.09310352632293703,0.8372422188738788
ATN01K24P,seasonal_naive_7,1746.8113928571424,0.5266032796562498,0.14624543607779217,0.5266032796562498
ATN01K24P,moving_average_7,2617.902508503401,0.789207153351191,0.14624543607779203,0.789207153351191
ATN01K24P,moving_average_28,2556.321425170068,0.770642584456849,-0.023911417507513102,0.770642584456849
ATN02K12P,seasonal_naive_7,386.18371428571425,0.6029074998434159,0.10950534513620384,0.6029074998434159
ATN02K12P,moving_average_7,454.22347619047616,0.709130733041675,0.10950534513620384,0.709130733041675
ATN02K12P,moving_average_28,436.39295238095235,0.6812938353858999,-0.0795284600926422,0.6812938353858999
ATPA1K24P,seasonal_naive_7,0.0,,,0.0
ATPA1K24P,moving_average_7,0.0,,,0.0
ATPA1K24P,moving_average_28,0.0,,,0.0
ATPPCH5X5K,seasonal_naive_7,0.0,,,0.0
ATPPCH5X5K,moving_average_7,0.0,,,0.0
ATPPCH5X5K,moving_average_28,0.0,,,0.0
ATWWP001K24P,seasonal_naive_7,37.68299999999999,0.762855680329457,-0.712361292263022,0.762855680329457
ATWWP001K24P,moving_average_7,44.88834693877552,0.9087209203843725,-0.712361292263022,0.9087209203843725
ATWWP001K24P,moving_average_28,43.30698894557822,0.876707866016489,-0.14161588789821716,0.876707866016489
ATWWP002K12P,seasonal_naive_7,24.901785714285715,0.9905301200711449,-0.8920325720682581,0.9905301200711449
ATWWP002K12P,moving_average_7,24.486795918367346,0.9740228744825885,-0.8920325720682581,0.9740228744825885
ATWWP002K12P,moving_average_28,25.297642857142854,1.0062763170605584,-0.44240505969462246,1.0062763170605584
EEA200G24P,seasonal_naive_7,0.0,,,0.0
EEA200G24P,moving_average_7,0.0,,,0.0
EEA200G24P,moving_average_28,0.0,,,0.0
EEA500G12P,seasonal_naive_7,0.0,,,0.0
EEA500G12P,moving_average_7,0.0,,,0.0
EEA500G12P,moving_average_28,0.0,,,0.0
MAC1K25P,seasonal_naive_7,6.25,1.2962962962962963,-0.7037037037037037,1.2962962962962963
MAC1K25P,moving_average_7,5.739795918367345,1.19047619047619,-0.7037037037037037,1.19047619047619
MAC1K25P,moving_average_28,6.75,1.4,-0.37777777777777777,1.4
MAHS025K,seasonal_naive_7,65.28571428571429,1.4624,-0.0816,1.4624
MAHS025K,moving_average_7,45.214285714285715,1.0128,-0.0816,1.0128
MAHS025K,moving_average_28,43.50510204081633,0.9745142857142859,-0.3936,0.9745142857142859
MAP1K25P,seasonal_naive_7,16.964285714285715,1.0,-1.0,1.0
MAP1K25P,moving_average_7,16.964285714285715,1.0,-1.0,1.0
MAP1K25P,moving_average_28,16.964285714285715,1.0,-1.0,1.0
MAPA1K24P,seasonal_naive_7,0.0,,,0.0
MAPA1K24P,moving_average_7,0.0,,,0.0
MAPA1K24P,moving_average_28,0.0,,,0.0
MAR01K24P,seasonal_naive_7,351.2472857142857,0.6168753563447076,0.22888717585568202,0.6168753563447076
MAR01K24P,moving_average_7,411.6648571428571,0.7229832536020215,0.2288871758556818,0.7229832536020215
MAR01K24P,moving_average_28,441.1167142857143,0.7747078522222424,0.4976228632646167,0.7747078522222424
MAR02K12P,seasonal_naive_7,90.91953571428573,0.903095271120464,-0.31321044672183923,0.903095271120464
MAR02K12P,moving_average_7,79.95097448979593,0.7941455751611652,-0.31321044672183934,0.7941455751611652
MAR02K12P,moving_average_28,87.29959693877551,0.8671387567781319,0.1407411296482013,0.8671387567781319
MASR025K,seasonal_naive_7,154.5,0.9161372299872935,-0.3189326556543837,0.9161372299872935
MASR025K,moving_average_7,145.3673469387755,0.8619834210685545,-0.31893265565438395,0.8619834210685545
MASR025K,moving_average_28,147.4795918367347,0.8745083802262964,-0.4773401101228291,0.8745083802262964
POP001L12P,seasonal_naive_7,2305.4285714285716,0.8339620691437135,-0.11570461474859181,0.8339620691437135
POP001L12P,moving_average_7,2436.877551020408,0.881512214208199,-0.11570461474859181,0.881512214208199
POP001L12P,moving_average_28,2422.387755102041,0.8762706984504308,-0.13404991990078033,0.8762706984504308
POP002L09P,seasonal_naive_7,93.14285714285715,0.5954337899543379,0.26666666666666683,0.5954337899543379
POP002L09P,moving_average_7,111.93877551020414,0.7155903457273323,0.2666666666666664,0.7155903457273323
POP002L09P,moving_average_28,112.43877551020411,0.7187866927592955,0.29178082191780796,0.7187866927592955
POP005L04P,seasonal_naive_7,26.321428571428573,0.692018779342723,0.3596244131455399,0.692018779342723
POP005L04P,moving_average_7,41.5765306122449,1.0930918846411806,0.3596244131455401,1.0930918846411806
POP005L04P,moving_average_28,52.318877551020414,1.3755197853789405,0.9746478873239437,1.3755197853789405
POP015K,seasonal_naive_7,0.0,,,0.0
POP015K,moving_average_7,0.0,,,0.0
POP015K,moving_average_28,0.0,,,0.0
POP500M24P,seasonal_naive_7,153.10714285714286,0.5227411291305938,0.06279721985123765,0.5227411291305938
POP500M24P,moving_average_7,230.7704081632653,0.787900430261118,0.06279721985123765,0.787900430261118
POP500M24P,moving_average_28,240.8316326530612,0.8222516417858449,0.32910620656017536,0.8222516417858449
POPF01L12P,seasonal_naive_7,121.92857142857143,0.7383217993079585,-0.4809688581314879,0.7383217993079585
POPF01L12P,moving_average_7,145.5204081632653,0.8811789421651013,-0.4809688581314879,0.8811789421651013
POPF01L12P,moving_average_28,150.0408163265306,0.9085516559565002,0.024221453287197034,0.9085516559565002
POV001L24P,seasonal_naive_7,837.8571428571428,0.512607612638203,0.044967880085653104,0.512607612638203
POV001L24P,moving_average_7,1291.7142857142858,0.7902809946248307,0.044967880085653104,0.7902809946248307
POV001L24P,moving_average_28,1286.7653061224487,0.7872531698516052,0.0025783332604987423,0.7872531698516052
POV002L09P,seasonal_naive_7,367.2142857142858,0.678859104714116,0.3336854615079889,0.678859104714116
POV002L09P,moving_average_7,491.68367346938777,0.9089622908452962,0.33368546150798917,0.9089622908452962
POV002L09P,moving_average_28,451.14540816326524,0.8340202976740676,0.06424138386372616,0.8340202976740676
POV005L04P,seasonal_naive_7,153.85714285714286,0.6449101796407186,0.2772455089820359,0.6449101796407186
POV005L04P,moving_average_7,183.5408163265306,0.7693327630453378,0.2772455089820359,0.7693327630453378
POV005L04P,moving_average_28,176.61479591836732,0.7403015397775876,0.1959580838323352,0.7403015397775876
POV500M24P,seasonal_naive_7,537.0357142857143,0.6125300419569025,0.23182207014542344,0.6125300419569025
POV500M24P,moving_average_7,743.75,0.8483033932135728,0.23182207014542344,0.8483033932135728
POV500M24P,moving_average_28,727.5586734693877,0.8298359549123326,0.10444417287873219,0.8298359549123326
SE200G24P,seasonal_naive_7,32.495535714285715,0.9149445552901032,0.7376279066259634,0.9149445552901032
SE200G24P,moving_average_7,39.912172619047624,1.1237674414317331,0.7376279066259637,1.1237674414317331
SE200G24P,moving_average_28,32.93470238095238,0.9273097353586666,0.2622015651723588,0.9273097353586666
SE500G24P,seasonal_naive_7,271.9882142857143,0.49771814835074707,0.3493085822848841,0.49771814835074707
SE500G24P,moving_average_7,420.83853061224494,0.7701031265676322,0.3493085822848836,0.7701031265676322
SE500G24P,moving_average_28,402.1030943877551,0.7358186754906418,0.1503063491223222,0.7358186754906418
SO0001L12P,seasonal_naive_7,0.0,,,0.0
SO0001L12P,moving_average_7,0.0,,,0.0
SO0001L12P,moving_average_28,0.0,,,0.0
SO0002L09P,seasonal_naive_7,0.0,,,0.0
SO0002L09P,moving_average_7,0.0,,,0.0
SO0002L09P,moving_average_28,0.0,,,0.0
SO0005L04P,seasonal_naive_7,0.0,,,0.0
SO0005L04P,moving_average_7,0.0,,,0.0
SO0005L04P,moving_average_28,0.0,,,0.0
SO0500M24P,seasonal_naive_7,0.0,,,0.0
SO0500M24P,moving_average_7,0.0,,,0.0
SO0500M24P,moving_average_28,0.0,,,0.0
SOP001L12P,seasonal_naive_7,109.24132375776396,1.888607820630154,1.0688536076450168,1.888607820630154
